time,e0,e1,e2,e3,wx,wy,wz,x,y,z,xp,yp,zp,input1,input2,input3,input4
0,0.999959,-0.00890055,0.00127536,-0.00149512,-0.000971532,0.00288643,-0.00185912,0.0522919,-0.00572789,0.0391724,0.00453433,0.00217224,0.0930768,2.55062,0.0120656,-0.00621871,-0.00164395
0.02,0.999959,-0.00889492,0.00127721,-0.00150607,0.00129215,0.000755894,-0.00265807,0.0524378,-0.00563793,0.0389673,0.00454162,0.00247548,0.092858,4.59371,-0.00579512,0.000361176,-0.0274743
0.04,0.999959,-0.00888928,0.00127443,-0.00150152,0.00129215,-0.000442526,0.00120351,0.0525812,-0.00554668,0.0387881,0.00463794,0.00288932,0.0924731,6.84409,-0.0145127,-0.00441615,0.0195263
0.06,0.999959,-0.00886475,0.00126719,-0.00150574,0.00342269,-0.000176203,-0.00119332,0.0528615,-0.00536359,0.0385086,0.0047289,0.00310364,0.0922642,8.5703,0.023761,0.0316598,0.0549758
0.08,0.999959,-0.00884902,0.00127401,-0.00150661,0.00382217,0.00195431,-0.000128071,0.0529989,-0.00527418,0.0384063,0.00506216,0.00309159,0.0922039,10.2826,-0.0679455,-0.0123897,-0.0319512
0.1,0.999959,-0.00885435,0.00126876,-0.00149212,-0.000705215,-0.00124147,0.00240194,0.0532739,-0.00510108,0.0382794,0.0056217,0.00307289,0.0921298,12.8159,0.0212992,0.0442853,0.0121191
0.12,0.999959,-0.00885229,0.00123759,-0.00150889,0.000759529,-0.00204042,5.09665e-06,0.0539276,-0.00468309,0.0383893,0.00553638,0.00390542,0.0923913,15.0057,-0.000719439,-0.0213654,-0.0142093
0.14,0.999959,-0.00885148,0.00123901,-0.0015082,-0.000439868,0.000622619,5.44983e-06,0.0541723,-0.00451899,0.0385976,0.00579817,0.00393145,0.0926338,16.2874,0.0149749,-0.0106846,0.0433424
0.16,0.999959,-0.00884282,0.00123559,-0.00149717,0.00209013,-0.000708966,0.00280177,0.0542924,-0.00443862,0.0387353,0.00571137,0.00401826,0.0927607,17.6763,0.0162363,0.0246923,0.052666
0.18,0.999959,-0.00885135,0.00123649,-0.00150448,-0.0108264,-0.00110924,-0.00199198,0.0549274,-0.00401477,0.0389706,0.00585013,0.00484205,0.0953437,21.522,-0.0187164,-0.00557311,0.00803458
0.2,0.999958,-0.00892353,0.00125035,-0.00152409,0.0036877,0.000888633,0.00120387,0.0555438,-0.00348375,0.0391146,0.00612534,0.00777013,0.0932296,22.5852,-0.0178117,0.0177593,0.0687341
0.22,0.999958,-0.00890917,0.00125021,-0.00152212,0.00355454,8.96861e-05,0.000538074,0.0556597,-0.00338513,0.0391828,0.0062569,0.00716394,0.0934462,23.4249,-0.00404681,0.0151048,0.0504239
0.24,0.999959,-0.00889055,0.00125014,-0.00151323,0.00461981,8.96849e-05,0.00226913,0.0557749,-0.00329262,0.0392754,0.00642506,0.00653866,0.0935946,27.8126,0.00282401,-0.0186936,-0.0722467
0.26,0.999959,-0.00890388,0.00123117,-0.0015293,-0.000839674,-0.00017663,0.000671236,0.0565741,-0.00276247,0.0402619,0.0072202,0.00508244,0.0943217,28.6216,-0.00797075,0.0147101,0.107305
0.28,0.999958,-0.00892126,0.00123659,-0.00153088,-0.00190523,0.00261901,-0.000394038,0.0569498,-0.00253282,0.040307,0.00721261,0.00647806,0.0943377,28.8812,-0.0100688,-0.031073,0.0800176
0.3,0.999958,-0.00891839,0.00123801,-0.00152597,0.000490753,0.00182014,0.00120239,0.05719,-0.00236925,0.0404549,0.00710922,0.00701016,0.0944038,31.3238,0.00152056,-0.0212127,-0.0325656
0.32,0.999958,-0.00891464,0.00125412,-0.00151338,0.00102321,0.00235225,0.00226765,0.0575863,-0.00210514,0.0401297,0.00740411,0.0078542,0.0942834,30.0872,-0.00141658,0.00726119,-0.0562325
0.34,0.999959,-0.00886684,0.00125659,-0.00148738,0.0026211,0.00181962,0.00200133,0.058323,-0.00155212,0.0401861,0.00741579,0.00890131,0.0948,33.0734,0.00402064,0.00960454,0.0452442
0.36,0.999959,-0.00885107,0.00125549,-0.00147743,0.00395268,-0.000177756,0.00253396,0.0584316,-0.0014665,0.0402137,0.00739029,0.00876764,0.0949049,31.2368,0.0193332,0.0194764,-0.0660043
0.38,0.999959,-0.00885243,0.00125403,-0.00147169,-0.000308622,-0.000310186,0.00146871,0.0585394,-0.00138147,0.0402647,0.0076945,0.00890111,0.0947691,31.3243,-0.0166081,0.0287795,0.0228579
0.4,0.999959,-0.00885244,0.00125449,-0.00146966,-4.25692e-05,-0.00217486,-0.0019934,0.0591078,-0.000940138,0.0403643,0.00838212,0.00974185,0.0949999,34.9013,-0.0259459,0.0283346,0.0920768
0.42,0.999959,-0.00885421,0.00127088,-0.00150085,-0.000841505,0.00195305,-0.00305867,0.0596905,-0.000511085,0.0403433,0.00848043,0.00973344,0.0953519,34.9645,0.00439345,0.0264334,-0.00712466
