time,e0,e1,e2,e3,wx,wy,wz,x,y,z,xp,yp,zp,input1,input2,input3,input4
0,0.99984,-0.0154733,-0.00109976,-0.00888631,0.0162498,0.00337251,0.00238552,0.0473809,0.0930482,0.0323439,0.0308612,0.133695,-0.00156214,3.10151,0.0237754,0.0037567,-0.0262675
0.02,0.999841,-0.0154464,-0.00109839,-0.00888686,0.000318352,-0.00297373,0.00141873,0.047242,0.0930304,0.0323176,0.03061,0.13364,-0.00511211,4.52451,-0.00760058,-0.00100974,0.0289402
0.04,0.99984,-0.0154952,-0.00108678,-0.00889295,-0.00226005,0.0108314,0.0015492,0.0471169,0.0930534,0.0322725,0.0309173,0.133845,-0.00245463,6.81983,0.00186794,0.00615783,0.0137134
0.06,0.99984,-0.0154573,-0.00106672,-0.00892239,0.0100473,-0.000727973,-0.0010872,0.0467944,0.0932717,0.0321696,0.0299993,0.132299,-0.00504345,8.38651,-0.00312118,1.38361e-05,0.0213058
0.08,0.999839,-0.0155049,-0.00105427,-0.00892446,0.0198352,0.00179724,-0.00162157,0.0460314,0.0923014,0.0320515,0.0292737,0.130576,-0.0051476,10.8607,0.0328754,0.014382,-0.0321434
0.1,0.999839,-0.0155535,-0.00103667,-0.00894299,-0.0125726,-0.00770512,-0.00286181,0.0455334,0.091863,0.0319341,0.029033,0.130301,-0.00711276,13.0981,-0.020401,0.018747,0.00677302
0.12,0.999837,-0.015654,-0.0010228,-0.00893785,-0.0033118,0.00243548,0.000216618,0.0448523,0.09142,0.0317795,0.0287504,0.12833,-0.00294296,14.9004,-0.011709,0.00916423,0.057882
0.14,0.999837,-0.0156623,-0.00102317,-0.00893015,-0.00481349,-0.00357864,5.37501e-07,0.0444675,0.0907475,0.0317488,0.0286644,0.12709,-0.0036558,16.1819,-0.0141748,0.00397734,-0.00784936
0.16,0.999837,-0.0156735,-0.00100579,-0.00895726,0.0140175,0.00229502,-0.00593309,0.0439652,0.0899691,0.0316898,0.0275106,0.125388,-0.00551449,19.7868,-0.0177216,0.00319821,0.0493816
0.18,0.999835,-0.0157541,-0.000994832,-0.0089563,0.00670477,0.00622974,-0.00336135,0.0434857,0.089582,0.0315733,0.0278173,0.124838,-0.00308967,21.8723,0.00697886,0.00608452,0.0509823
0.2,0.999835,-0.0157674,-0.000986763,-0.00893973,0.00397043,-0.00960604,0.00249015,0.0430687,0.0890217,0.0314928,0.026818,0.124404,-0.0072416,21.7779,0.00814966,0.0168997,0.00723336
0.22,0.999834,-0.0158138,-0.000968364,-0.00895286,0.0156702,0.00545159,0.000559199,0.042316,0.0875345,0.0313935,0.0251166,0.122152,-0.00713039,25.4415,0.00907936,-0.00661683,-0.0631797
0.24,0.999833,-0.0159045,-0.000981205,-0.00895862,-0.00730459,-0.00192065,-0.0032799,0.0418785,0.0869501,0.0312722,0.0250181,0.122061,-0.00823598,25.2732,0.0010182,-0.00512036,-0.0134864
0.26,0.999833,-0.0159068,-0.00100029,-0.00894211,-0.0100167,-0.00867199,0.00490466,0.0416058,0.0865966,0.0312061,0.0245369,0.121728,-0.00839918,26.6405,-0.0147716,-0.00460359,0.0014754
0.28,0.999833,-0.0159301,-0.000987194,-0.00896295,-0.00544032,-0.0040706,-0.00864005,0.0413638,0.0863642,0.031138,0.0240885,0.121108,-0.00811879,31.1172,-0.0194229,0.00747192,-0.106276
0.3,0.999832,-0.015983,-0.000962285,-0.00895616,0.0102286,0.000393751,-0.000275963,0.0406012,0.085199,0.0310889,0.0229888,0.119185,-0.0080436,32.2923,-0.000167052,0.0155608,0.00367871
0.32,0.999831,-0.0159999,-0.000951663,-0.00896128,0.0151954,0.00124419,0.00312138,0.0402747,0.0847994,0.0310552,0.0228318,0.118215,-0.00741891,32.6821,-0.0346969,0.0091929,-0.0414769
0.34,0.999831,-0.0160543,-0.000957899,-0.00896319,-0.00633107,-2.62522e-05,-0.001219,0.0401286,0.0846503,0.0310298,0.0233873,0.118576,-0.00461643,33.1515,0.00496928,0.00179401,0.0444467
0.36,0.999831,-0.0160228,-0.000942544,-0.00899158,0.0259036,0.00479804,-0.00577252,0.0397847,0.0845382,0.0309741,0.022947,0.116631,-0.00414817,34.6473,-0.0220285,-0.0057485,0.0290156
0.38,0.99983,-0.016073,-0.00093514,-0.00898451,0.00186522,0.00873181,0.0012796,0.039543,0.0843375,0.0309285,0.0226403,0.11617,-0.00386732,35.3748,-0.0184189,-0.00374541,0.0211202
0.4,0.99983,-0.0160541,-0.000943746,-0.00898218,0.00784764,-0.00526561,-0.000104729,0.0389362,0.0833727,0.030938,0.0226408,0.115584,-0.00857991,34.6878,-0.0348398,-0.0042954,-0.00115531
0.42,0.99983,-0.0160772,-0.000935257,-0.00898903,0.0150977,-0.0028695,0.00394023,0.0385821,0.0828792,0.0309385,0.0224389,0.114645,-0.00845233,38.8437,0.00450787,0.0376825,0.0745673
0.44,0.999829,-0.0161265,-0.000945968,-0.00899471,-0.0086642,-0.000808623,0.0005493,0.0384312,0.0827393,0.0309272,0.0216383,0.114001,-0.00486113,36.2054,-0.0500736,-0.00711496,0.0527224
0.46,0.999829,-0.016149,-0.00093179,-0.00899157,-0.0128403,-0.00297962,-0.00818125,0.0381183,0.0824174,0.0309241,0.0213763,0.113171,-0.00503373,38.5817,-0.0238663,-0.00312658,-0.0791354
0.48,0.999829,-0.016148,-0.000954538,-0.00896765,-0.0107944,-0.0115965,0.00494672,0.0378371,0.0822022,0.0309132,0.0209127,0.112756,-0.00567222,35.815,-0.00740274,0.0327092,0.0493835
0.5,0.999829,-0.0161577,-0.000924204,-0.00894202,0.0168201,0.00546114,-0.000688099,0.0373222,0.0817798,0.0309325,0.0203595,0.110567,-0.00387512,37.9688,-0.0234659,-0.00390511,0.0361263
0.52,0.999828,-0.0162113,-0.00091728,-0.00892659,0.00283866,0.00849113,-0.00279414,0.0369422,0.0813709,0.0309643,0.019989,0.110251,-0.0040779,35.5781,-0.0470232,-0.0330401,-0.0336086
0.54,0.999828,-0.016238,-0.000919963,-0.00891839,0.00368125,-0.000187099,-0.00346848,0.0366013,0.0810836,0.030991,0.0199807,0.110099,-0.00429582,35.6621,-0.033915,-0.00675642,-0.0205043
0.56,0.999828,-0.0162358,-0.000911911,-0.00891518,-0.00279647,0.00130617,-0.00515957,0.0362946,0.080906,0.0310165,0.0198132,0.10997,-0.00456789,36.2595,-0.0492028,0.0266264,-0.0145483
0.58,0.999829,-0.0161777,-0.000910045,-0.00887715,0.0237212,0.00197624,0.00337833,0.0358939,0.0808421,0.0310591,0.0187501,0.10909,-0.00632102,34.1352,-0.0473105,0.0125859,-0.0297118
0.6,0.99983,-0.0161953,-0.000913541,-0.00878861,0.0165985,0.00132324,0.0111513,0.0354963,0.08035,0.0311416,0.0182466,0.107596,-0.00347655,35.5185,-0.11074,0.0105492,-0.0529982
0.62,0.99983,-0.0162172,-0.000911509,-0.00871819,0.0134285,0.00234715,0.000711988,0.0350998,0.0798172,0.0312057,0.017455,0.106684,-0.00344559,35.4934,-0.0654154,-0.0229371,0.0526548
0.64,0.99983,-0.0162641,-0.00092374,-0.0086053,0.00295132,0.00565246,0.0105685,0.0347275,0.0793983,0.031256,0.0164338,0.105949,-0.00361814,32.8388,-0.055493,0.0267779,0.0899665
0.66,0.999831,-0.016277,-0.000905301,-0.00847797,-0.00162236,0.00415191,0.0152723,0.0343791,0.0790904,0.0312964,0.0158224,0.105754,-0.00423887,33.1514,-0.0792467,0.0718722,-0.0745235
