control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_x,torque_sp_y,torque_sp_z,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11
0.0254869,0.0127101,0.00222242,0.0508547,0.000747671,0.00229382,-0.00383017,-0.020015,-0.041296,-0.0135672,0.00394738,-0.00157205,-0.00280345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.080022,0.165174,0.00123013,0,0,-0.001,0.0128488,0.00210618,-1,-0.0135728,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0109893,0.025454,9.25204e-05,0.00199206,7.93927e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.0358228,0.0126602,0.00226855,0.050964,0.00129561,0.00204108,-0.00437095,-0.0200233,-0.0412996,-0.0135459,-0.000870404,-0.000563604,0.00255427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.080022,0.165174,0.00123013,0,0,-0.001,0.0128488,0.00210618,-1,-0.0135728,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0108943,0.0251883,8.12124e-05,0.00199215,7.85015e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.0472532,0.0125671,0.00235889,0.0511755,0.000876485,0.00241216,-0.00411679,-0.0200045,-0.0413151,-0.0135398,-0.00140538,-0.000224554,-0.00130734,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0799316,0.165245,0.00110208,0,0,-0.001,0.0128488,0.00210618,-1,-0.0135728,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0119858,0.0255531,7.57631e-05,0.00199203,7.96813e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.0540906,0.012524,0.00240503,0.0512724,0.00141855,0.00218568,-0.00381843,-0.0200621,-0.0413051,-0.0135156,-0.00633926,0.000951262,0.00288667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0799316,0.165245,0.00110208,0,0,-0.001,0.0128488,0.00210618,-1,-0.0135728,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0138699,0.023141,7.37005e-05,0.00199283,7.17404e-06,0.002,1.93456e-14,nan,nan,nan,nan,nan,nan,nan,nan
0.0699565,0.0124804,0.0024502,0.0513715,0.000614668,0.00229036,-0.0033955,-0.0200153,-0.0413301,-0.0135245,0.00510852,-0.00284421,-0.000881352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0800323,0.165174,0.00128006,0,0,-0.001,0.0128488,0.00210618,-1,-0.0135728,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0114517,0.0251132,8.43759e-05,0.00199218,7.82285e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.0776708,0.0124348,0.00249346,0.0514648,0.000606915,0.00185921,-0.00361121,-0.0199756,-0.0413267,-0.0135382,0.0043549,0.000317489,-0.0013771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0800323,0.165174,0.00128006,0,0,-0.001,0.0128488,0.00210618,-1,-0.0135728,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0101433,0.0251912,0.000114684,0.00199215,7.85029e-06,0.002,2.97479e-14,nan,nan,nan,nan,nan,nan,nan,nan
0.092184,0.0123905,0.00253538,0.051556,0.000430639,0.00216728,-0.00347476,-0.0200284,-0.0413103,-0.0135459,-0.00595126,0.00174374,-0.00067007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0799542,0.16524,0.00126428,0,0,-0.001,0.0128488,0.00210618,-1,-0.0135728,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0124065,0.0242327,0.000199452,0.00199247,7.53342e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.0959307,0.012347,0.00257874,0.0516417,0.000646978,0.00193441,-0.00374651,-0.0200313,-0.041327,-0.0135683,-0.000453844,-0.00188914,-0.002381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0799542,0.16524,0.00126428,0,0,-0.001,0.0128488,0.00210618,-1,-0.0135728,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0124065,0.0242327,0.000199452,0.00199247,7.53342e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.106514,0.0123063,0.00261947,0.051725,0.000573842,0.00191465,-0.00352262,-0.020044,-0.0412989,-0.013552,-0.00136668,0.0030118,0.00201987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0802307,0.165232,0.00115436,0,0,-0.001,0.0128488,0.00210618,-1,-0.0135728,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0123249,0.0245225,0.000212009,0.00199237,7.62904e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.137842,0.0121506,0.0027579,0.0520966,0.000973674,0.00168034,-0.00219277,-0.0199224,-0.0412913,-0.0135787,0.00502815,0.0022037,-0.00107621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0796514,0.165155,0.00118373,0,0,-0.001,0.0128488,0.00210618,-1,-0.0135728,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0106049,0.0247156,0.000218838,0.00199221,7.78945e-06,0.002,5.90655e-12,nan,nan,nan,nan,nan,nan,nan,nan
