control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_x,torque_sp_y,torque_sp_z,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11
0.0198192,-0.00267744,-0.0266868,0.0343507,0.00165195,-0.0109157,-0.0104821,-0.0346123,-0.00514063,-0.00940399,-0.00283056,-0.00178101,-0.000480954,nan,nan,nan,-0.00940399,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00470198,0.138441,0.020563,0.000259526,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0217563,0.00349894,-3.57079e-05,0.00199862,0,0.00200069,6.87916e-07,nan,nan,nan,nan,nan,nan,nan,nan
0.0331826,-0.002637,-0.0267382,0.0344737,0.0014349,-0.0108849,-0.0104832,-0.0346118,-0.00516167,-0.00940426,-0.000225119,-0.00225249,-0.000113116,nan,nan,nan,-0.00940399,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00470198,0.138439,0.0206473,0.000250844,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0212207,0.00320024,-3.46124e-05,0.00199882,0,0.00200059,5.88691e-07,nan,nan,nan,nan,nan,nan,nan,nan
0.0518568,-0.0025523,-0.0267848,0.0347982,0.00188659,-0.0106472,-0.0100497,-0.0346152,-0.00513066,-0.00937275,0.00105767,0.00270125,0.00370204,nan,nan,nan,-0.00940546,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00470271,0.138547,0.0205319,0.00030057,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0202183,0.00264171,-4.7865e-05,0.00199919,0,0.0020004,4.04595e-07,nan,nan,nan,nan,nan,nan,nan,nan
0.0638562,-0.00242868,-0.026854,0.0352482,0.00134966,-0.0103571,-0.00956109,-0.0346073,-0.00510785,-0.00937504,-0.00310618,0.00278201,0.00122197,nan,nan,nan,-0.00937504,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.0046875,0.138421,0.0204323,0.000218637,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0202183,0.00264171,-4.7865e-05,0.00199919,0,0.0020004,4.04595e-07,nan,nan,nan,nan,nan,nan,nan,nan
0.0831064,-0.00239051,-0.0268806,0.0353877,0.00177027,-0.0107632,-0.00931208,-0.0346079,-0.00512737,-0.00940332,-0.000403318,-0.0019859,-0.00324308,nan,nan,nan,-0.00940332,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00470164,0.138349,0.0204985,0.000318857,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0216165,0.00319036,-5.21927e-05,0.00199883,0,0.00200058,5.85548e-07,nan,nan,nan,nan,nan,nan,nan,nan
0.100028,-0.00230331,-0.0269501,0.0356424,0.00194395,-0.00997925,-0.00899272,-0.0346065,-0.00514453,-0.00939934,0.00166832,-0.00308115,-0.00302797,nan,nan,nan,-0.00939934,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00469965,0.138575,0.0205879,0.00024386,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0216846,0.00315091,2.65721e-06,0.00199943,5.73071e-07,0.002,9.41472e-14,nan,nan,nan,nan,nan,nan,nan,nan
0.112181,-0.00225955,-0.0269725,0.0357668,0.00241798,-0.00925226,-0.00914624,-0.0346881,-0.00513606,-0.00939226,-0.00937684,0.000984603,0.000795153,nan,nan,nan,-0.00939934,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00469965,0.138744,0.020545,0.000229597,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0227963,0.0031482,2.03979e-05,0.00199943,5.71656e-07,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.132237,-0.00212939,-0.0270454,0.0361081,0.00247937,-0.0103048,-0.00911932,-0.0346879,-0.00517267,-0.0093712,0.00226611,-0.00343118,0.000775115,nan,nan,nan,-0.0093712,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00468558,0.138744,0.0206915,0.000227774,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0227963,0.0031482,2.03979e-05,0.00199943,5.71656e-07,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.141066,-0.00209241,-0.027067,0.0362797,0.00227702,-0.0100487,-0.0087937,-0.0347011,-0.00512897,-0.00937039,-0.00175152,0.00494451,0.000228885,nan,nan,nan,-0.0093712,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.00468558,0.138796,0.0205165,0.000246904,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0200657,0.00336243,-1.43197e-05,0.00199872,0,0.00200064,6.42153e-07,nan,nan,nan,nan,nan,nan,nan,nan
0.159472,-0.00205791,-0.0270853,0.0364481,0.00216678,-0.00945611,-0.00860584,-0.0346625,-0.00514974,-0.00937284,0.00400613,-0.00226238,-0.000366809,nan,nan,nan,-0.00937283,nan,nan,nan,0,0,100,0,0.999989,-0,0,-0.0046864,0.138642,0.0205995,0.000256725,0,0,-0.001,-0.00284268,-0.0264918,-1,-0.00942224,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0203143,0.00300679,-5.61847e-06,0.00199895,0,0.00200052,5.25169e-07,nan,nan,nan,nan,nan,nan,nan,nan
