control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_x,torque_sp_y,torque_sp_z,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11,rate_ctrl_status_timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
0.024885,0.0338164,0.00831168,0.0217985,5.23647e-05,0.000840831,0.00104322,-0.0321794,-0.000631955,-0.0548014,0.00774929,-0.0022547,0.000948029,nan,nan,nan,-0.0548105,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0274018,0.128839,0.0025139,2.45609e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0198931,0.000629157,-9.27177e-05,0.000795883,0.00101872,0.00209267,9.27216e-05,nan,nan,nan,nan,nan,nan,nan,nan,1782373974594378,0,0,0
0.0461694,0.0338173,0.00821745,0.0219528,-0.00011246,0.000158499,0.000862726,-0.0322172,-0.000626927,-0.0547766,-0.00400024,0.000340288,0.00281555,nan,nan,nan,-0.0547766,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273849,0.128825,0.00244951,4.15858e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0199211,0.000238964,-0.000121271,0.000215643,0.00154187,0.00212121,0.000121276,nan,nan,nan,nan,nan,nan,nan,nan,1782373974604899,0,0,0
0.0465234,0.0338136,0.00812056,0.0221036,-0.000761445,-0.000159187,0.00106672,-0.0322072,-0.000606876,-0.0548124,0.00133205,0.00222149,-0.00389673,nan,nan,nan,-0.0547766,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273849,0.128878,0.00246189,-3.02884e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0199211,0.000238964,-0.000121271,0.000215643,0.00154187,0.00212121,0.000121276,nan,nan,nan,nan,nan,nan,nan,nan,1782373974604899,0,0,0
0.0701991,0.0336408,0.00771422,0.0227098,-0.00152127,-0.000683979,0.00160164,-0.0322301,-0.000596754,-0.054793,0.00121085,-0.00278509,0.000307462,nan,nan,nan,-0.054793,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273931,0.128886,0.00241099,4.51378e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0194872,-0.000282949,-9.6868e-05,1.51808e-12,0.002,0.00159894,0.000401065,nan,nan,nan,nan,nan,nan,nan,nan,1782373974613831,0,0,0
0.0835171,0.0335645,0.00760775,0.0228609,-0.00201553,-0.00147215,0.00177771,-0.0322762,-0.00059251,-0.0547948,-0.00493802,0.000163865,-9.59479e-05,nan,nan,nan,-0.054793,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273931,0.129099,0.00237006,3.1757e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0194465,0.000795508,-4.61374e-05,0.00107765,0.000830101,0.00204611,4.61399e-05,nan,nan,nan,nan,nan,nan,nan,nan,1782373974649805,0,0,0
0.0934368,0.0334809,0.00749744,0.0230109,-0.00269081,-0.00162978,0.00215232,-0.032267,-0.0005666,-0.054806,0.00122223,0.00260709,-0.00107362,nan,nan,nan,-0.054793,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273931,0.129026,0.00224766,3.60789e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0200146,-0.000168936,-6.85999e-05,6.85111e-13,0.002,0.00176013,0.000239867,nan,nan,nan,nan,nan,nan,nan,nan,1782373974660329,0,0,0
0.103915,0.0333971,0.00738738,0.0231641,-0.00208388,-0.00146713,0.00231808,-0.0322819,-0.000552544,-0.0547875,-0.00147293,0.00116732,0.00231367,nan,nan,nan,-0.0547875,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273903,0.129154,0.00217756,-5.45126e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0200146,-0.000168936,-6.85999e-05,6.85111e-13,0.002,0.00176013,0.000239867,nan,nan,nan,nan,nan,nan,nan,nan,1782373974660329,0,0,0
0.113275,0.033321,0.00728395,0.0233091,-0.0026854,-0.0019536,0.00259732,-0.032299,-0.00054077,-0.0547647,-0.00171548,0.000890997,0.00277224,nan,nan,nan,-0.0547875,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273903,0.12919,0.00216373,-3.94938e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0195693,0.000596246,-8.9803e-05,0.000752262,0.00106817,0.00208976,8.98069e-05,nan,nan,nan,nan,nan,nan,nan,nan,1782373974678194,0,0,0
0.124969,0.03324,0.00717886,0.023452,-0.00287452,-0.00223051,0.00250077,-0.0323224,-0.000558318,-0.0547607,-0.00246242,-0.00229953,0.000593296,nan,nan,nan,-0.0547607,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273769,0.129284,0.00223343,1.39143e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0196692,0.000691618,-9.52575e-05,0.000881657,0.000927872,0.00209521,9.52615e-05,nan,nan,nan,nan,nan,nan,nan,nan,1782373974679727,0,0,0
0.135693,0.0331596,0.00707121,0.0235908,-0.00312725,-0.00285489,0.00235933,-0.0323692,-0.000516583,-0.0547416,-0.00504994,0.00425542,0.00247945,nan,nan,nan,-0.0547607,nan,nan,nan,0,0,100,0,0.999625,-0,0,-0.0273769,0.129471,0.00206688,-3.01515e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0191962,0.000374394,-0.000116016,0.000412381,0.00135564,0.00211596,0.00011602,nan,nan,nan,nan,nan,nan,nan,nan,1782373974699140,0,0,0
