control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_x,torque_sp_y,torque_sp_z,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11
0.0126799,0.00667693,-0.00417087,0.0312405,0.00509308,-0.000425262,-0.011495,-0.0232626,-0.0431236,-0.000669246,0.00262456,0.00220583,0.000629576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0930039,0.172498,0.00145632,0,0,-0.001,0.00673143,-0.00424002,-1,-0.000674282,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0127063,0.0254142,0.000212688,0.00199208,7.9218e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.0201474,0.00662012,-0.0041002,0.0311815,0.00519436,-0.000305563,-0.0118675,-0.0232607,-0.0431189,-0.000660294,0.000119822,0.000223734,0.00099451,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0930039,0.172498,0.00145632,0,0,-0.001,0.00673143,-0.00424002,-1,-0.000674282,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.014079,0.0257598,0.000214932,0.00199196,8.03477e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.0305921,0.00656808,-0.00403007,0.0311177,0.00542631,-0.000223103,-0.0118727,-0.0232489,-0.043112,-0.000678474,0.00109653,0.000544882,-0.00201511,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0930039,0.172498,0.00145632,0,0,-0.001,0.00673143,-0.00424002,-1,-0.000674282,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0135511,0.0254167,0.000203149,0.00199208,7.92413e-06,0.002,6.91311e-12,nan,nan,nan,nan,nan,nan,nan,nan
0.0495235,0.0064255,-0.00383388,0.03092,0.00474779,-0.000831661,-0.0119959,-0.0232286,-0.043153,-0.000667129,0.00269367,-0.00133506,-0.000503126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0928651,0.172601,0.0014151,0,0,-0.001,0.00673143,-0.00424002,-1,-0.000674282,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0135511,0.0254167,0.000203149,0.00199208,7.92413e-06,0.002,6.91311e-12,nan,nan,nan,nan,nan,nan,nan,nan
0.0646009,0.00637708,-0.00377538,0.0308491,0.00478923,-0.000823482,-0.0122712,-0.0232185,-0.043145,-0.000652808,0.00108754,0.000618272,0.00161381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0928205,0.172514,0.00138742,0,0,-0.001,0.00673143,-0.00424002,-1,-0.000674282,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0143548,0.0258074,0.000212739,0.00199195,8.05271e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.0804071,0.00629091,-0.003654,0.0307063,0.00475387,-8.22939e-05,-0.0122152,-0.0232284,-0.0431302,-0.000655327,-0.00170655,0.00203493,0.00208905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0927613,0.172446,0.00142344,0,0,-0.001,0.00673143,-0.00424002,-1,-0.000674282,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0133277,0.0257202,0.000214709,0.00199198,8.02225e-06,0.002,4.90388e-12,nan,nan,nan,nan,nan,nan,nan,nan
0.0906328,0.00625004,-0.00359361,0.0306336,0.00453295,-0.000210729,-0.0118617,-0.0232172,-0.0431122,-0.000645145,0.00119287,0.0017546,0.00117621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0927613,0.172446,0.00142344,0,0,-0.001,0.00673143,-0.00424002,-1,-0.000674282,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0133685,0.0255324,0.000201847,0.00199204,7.96301e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.1022,0.00620818,-0.0035341,0.0305613,0.00420933,-0.000234353,-0.0118417,-0.0232118,-0.0431081,-0.000674846,0.000368128,0.00031684,-0.00330703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0927819,0.172412,0.00149443,0,0,-0.001,0.00673143,-0.00424002,-1,-0.000674282,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0138058,0.0255772,0.000232547,0.00199202,7.97778e-06,0.002,6.33174e-13,nan,nan,nan,nan,nan,nan,nan,nan
0.105796,0.00616772,-0.00347518,0.0304889,0.00417023,4.24333e-05,-0.0117156,-0.0232315,-0.0431044,-0.000694306,-0.00237513,0.000267221,-0.00219998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0927819,0.172412,0.00149443,0,0,-0.001,0.00673143,-0.00424002,-1,-0.000674282,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0138058,0.0255772,0.000232547,0.00199202,7.97778e-06,0.002,6.33174e-13,nan,nan,nan,nan,nan,nan,nan,nan
0.117688,0.00612403,-0.003417,0.0304277,0.00429973,0.000343117,-0.0114211,-0.0232085,-0.0431046,-0.000654352,0.00265662,-0.000318454,0.00439848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0927832,0.172408,0.00128858,0,0,-0.001,0.00673143,-0.00424002,-1,-0.000674282,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0143746,0.0260171,0.000265497,0.00199188,8.11816e-06,0.002,1.03091e-11,nan,nan,nan,nan,nan,nan,nan,nan
