control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_x,torque_sp_y,torque_sp_z,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11
0.0184338,0.0196196,-0.00886352,0.0184938,-0.00108111,-0.000802822,-0.00631883,-0.0258651,-0.0404507,0.000569448,-0.000274774,0.00292323,-0.000603628,nan,nan,nan,0.000576231,nan,nan,nan,0,0,100,0,1,0,0,0.000288115,0.103411,0.161794,0.00148361,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0155834,0.0246908,0.000216362,0.00199232,7.68558e-06,0.002,4.9803e-13,nan,nan,nan,nan,nan,nan,nan,nan
0.0314953,0.0195977,-0.00892224,0.0186029,-0.0012241,-0.000311814,-0.00631882,-0.0259102,-0.0404454,0.000568057,-0.00489615,0.000599839,-6.5686e-05,nan,nan,nan,0.000568057,nan,nan,nan,0,0,100,0,1,0,0,0.000284028,0.103591,0.161773,0.00147088,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0151931,0.023783,0.000193655,0.00199261,7.38408e-06,0.002,7.12855e-12,nan,nan,nan,nan,nan,nan,nan,nan
0.0386779,0.0195765,-0.00897636,0.018708,-0.000959033,-0.000182728,-0.00624891,-0.0259126,-0.0404658,0.000563868,-0.000157738,-0.00224158,-0.000450461,nan,nan,nan,0.000568057,nan,nan,nan,0,0,100,0,1,0,0,0.000284028,0.103601,0.161855,0.00147959,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0151931,0.023783,0.000193655,0.00199261,7.38408e-06,0.002,7.12855e-12,nan,nan,nan,nan,nan,nan,nan,nan
0.0613022,0.019502,-0.0091372,0.0189911,-0.00182185,-0.000670659,-0.00634681,-0.0258951,-0.0404667,0.000581241,-0.00149833,5.83543e-05,0.00036938,nan,nan,nan,0.000581241,nan,nan,nan,0,0,100,0,1,0,0,0.000290621,0.103608,0.161841,0.00151487,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0157838,0.02439,0.000244908,0.00199241,7.58367e-06,0.002,2.64657e-12,nan,nan,nan,nan,nan,nan,nan,nan
0.0827525,0.0194774,-0.00919368,0.0190798,-0.00121248,-0.00105615,-0.0062571,-0.0259223,-0.0404529,0.000578853,-0.00292727,0.00155125,-0.000163303,nan,nan,nan,0.000578853,nan,nan,nan,0,0,100,0,1,0,0,0.000289426,0.10364,0.161803,0.00147463,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0157386,0.0243375,0.000233686,0.00199243,7.56777e-06,0.002,4.06369e-12,nan,nan,nan,nan,nan,nan,nan,nan
0.0926941,0.019455,-0.00925155,0.0191704,-0.00138191,-0.00122965,-0.00532962,-0.0258883,-0.0404534,0.000591827,0.00392822,-7.67565e-05,0.00149428,nan,nan,nan,0.000578853,nan,nan,nan,0,0,100,0,1,0,0,0.000289426,0.103579,0.161801,0.00146567,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0154871,0.0241658,0.000236753,0.00199249,7.5069e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.103909,0.0194079,-0.00940183,0.0195081,-0.00139704,-0.00142669,-0.00593263,-0.025898,-0.0404442,0.00056052,-0.00434755,-0.00221291,-0.000783925,nan,nan,nan,0.00056052,nan,nan,nan,0,0,100,0,1,0,0,0.00028026,0.103543,0.161768,0.00148846,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0154871,0.0241658,0.000236753,0.00199249,7.5069e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.11584,0.0193919,-0.00945462,0.0196123,-0.00140819,-0.00195643,-0.00580601,-0.0258637,-0.0404378,0.000568716,0.00394458,0.000716149,0.00108507,nan,nan,nan,0.00056052,nan,nan,nan,0,0,100,0,1,0,0,0.00028026,0.103405,0.161743,0.00144113,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0140649,0.0242962,0.000258838,0.00199245,7.55372e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.129179,0.0193745,-0.00950693,0.0197189,-0.00168273,-0.0017835,-0.00525134,-0.025848,-0.040425,0.000571264,0.00182253,0.00145105,0.000471391,nan,nan,nan,0.000571264,nan,nan,nan,0,0,100,0,1,0,0,0.000285632,0.103343,0.161692,0.00145559,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0148585,0.0239866,0.000271209,0.00199255,7.45113e-06,0.002,1.37206e-11,nan,nan,nan,nan,nan,nan,nan,nan
0.148193,0.0193462,-0.00960909,0.0199196,-0.00111154,-0.00194741,-0.00562201,-0.0258786,-0.0404274,0.00058201,-0.00239154,0.000303556,0.00337553,nan,nan,nan,0.00058201,nan,nan,nan,0,0,100,0,1,0,0,0.000291005,0.103512,0.16174,0.001509,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0166726,0.0245348,0.000273376,0.00199237,7.63148e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.1552,0.0193307,-0.00965964,0.0200132,-0.00139611,-0.00192332,-0.00589168,-0.0258927,-0.0404407,0.000563855,-0.00157876,-0.00139591,-0.00191097,nan,nan,nan,0.00058201,nan,nan,nan,0,0,100,0,1,0,0,0.000291005,0.103512,0.16174,0.001509,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0162341,0.0235199,0.000280118,0.0019927,7.29665e-06,0.002,3.96106e-12,nan,nan,nan,nan,nan,nan,nan,nan
0.164038,0.019316,-0.0097113,0.0200989,-0.00111176,-0.00224955,-0.00635005,-0.0259112,-0.040446,0.000593959,-0.00186781,-0.000635522,0.00347866,nan,nan,nan,0.00058201,nan,nan,nan,0,0,100,0,1,0,0,0.000291005,0.103555,0.161773,0.00138203,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0155587,0.0242524,0.000248263,0.00199246,7.53751e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.177831,0.0193042,-0.00975929,0.0201844,-0.000601408,-0.00132568,-0.00521642,-0.0259343,-0.0404093,0.000602654,-0.00246268,0.00406927,0.00120935,nan,nan,nan,0.000593959,nan,nan,nan,0,0,100,0,1,0,0,0.00029698,0.103626,0.161662,0.00145837,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.015181,0.0244228,0.000200933,0.0019924,7.59507e-06,0.002,2.59953e-12,nan,nan,nan,nan,nan,nan,nan,nan
0.18812,0.0192958,-0.00980117,0.0202686,-0.000233521,-0.00115567,-0.00598452,-0.0259513,-0.0404087,0.000611644,-0.00181147,8.26099e-05,0.00114897,nan,nan,nan,0.000593959,nan,nan,nan,0,0,100,0,1,0,0,0.00029698,0.103755,0.161586,0.00148378,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0166776,0.0242021,0.000175591,0.00199248,7.52338e-06,0.002,2.01849e-12,nan,nan,nan,nan,nan,nan,nan,nan
0.203397,0.019327,-0.00986273,0.0204391,-0.000194801,-0.000996568,-0.00527201,-0.0259317,-0.0403804,0.000608362,-0.00048872,0.0020695,-0.000682324,nan,nan,nan,0.000616317,nan,nan,nan,0,0,100,0,1,0,0,0.000308158,0.10366,0.161584,0.00145316,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.014936,0.0241164,0.000179327,0.0019925,7.49572e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
0.215827,0.0193402,-0.00989143,0.0205207,1.15012e-05,-0.00104439,-0.00555662,-0.0259435,-0.0404052,0.00060523,-0.00130711,-0.0026783,-0.000270529,nan,nan,nan,0.00060523,nan,nan,nan,0,0,100,0,1,0,0,0.000302615,0.103725,0.161612,0.00147618,0,0,-0.001,0.0196865,-0.00868087,-1,0.00056068,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0158623,0.0230296,0.000195456,0.00199286,7.13585e-06,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan
