control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_x,torque_sp_y,torque_sp_z,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11,rate_ctrl_status_timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
0.0223079,-0.0354562,-0.0158753,0.037417,-0.000341374,-0.0174685,-0.00647857,-0.0306807,0.00338305,0.00725552,-0.00436846,0.000919224,0.00300969,nan,nan,nan,0.00723077,nan,nan,nan,0,0,100,0,0.999994,0,0,0.00361538,0.122718,-0.0135319,-0.00021352,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0180465,-0.00253485,-4.84269e-05,0,0.00199926,3.70234e-07,0.00200037,nan,nan,nan,nan,nan,nan,nan,nan,1782374399550896,0,0,0
0.036047,-0.0354411,-0.0159233,0.0373119,-0.000794606,-0.0177962,-0.00636516,-0.0306574,0.00338756,0.00724553,0.00212468,0.000627975,-0.000830906,nan,nan,nan,0.00724553,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00362275,0.122625,-0.0135508,-0.000117413,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.019155,-0.00206284,-9.18393e-05,0,0.00199957,2.14267e-07,0.00200021,nan,nan,nan,nan,nan,nan,nan,nan,1782374399561416,0,0,0
0.0568107,-0.0354119,-0.0160325,0.0371059,-0.000265391,-0.0176335,-0.00662723,-0.0306205,0.00341043,0.00726701,0.000777585,-0.00190817,0.00261373,nan,nan,nan,0.00726701,nan,nan,nan,0,0,100,0,0.999993,0,0,0.0036335,0.122536,-0.0135846,-0.000153215,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0181254,-0.00211205,-0.000114852,0,0.00199938,3.07669e-07,0.00200031,nan,nan,nan,nan,nan,nan,nan,nan,1782374399571849,0,0,0
0.0656735,-0.0353947,-0.0160868,0.037003,-0.00014096,-0.0171245,-0.00644655,-0.0306479,0.00342023,0.00725556,-0.00350563,0.00121548,-0.000994619,nan,nan,nan,0.00726701,nan,nan,nan,0,0,100,0,0.999993,0,0,0.0036335,0.122586,-0.0136815,-0.000114705,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0191856,-0.00220566,-0.000124688,0,0.00199948,2.61508e-07,0.00200026,nan,nan,nan,nan,nan,nan,nan,nan,1782374399592809,0,0,0
0.0819213,-0.0353844,-0.0160764,0.0367099,-0.00108481,-0.0175093,-0.00641037,-0.0305883,0.0034589,0.0072577,-1.66207e-05,0.00219523,-0.000277644,nan,nan,nan,0.00727459,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00363729,0.122322,-0.013737,-0.000103047,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0187008,-0.00179502,-0.000122145,2.14491e-12,0.00199975,1.26372e-07,0.00200013,nan,nan,nan,nan,nan,nan,nan,nan,1782374399594306,0,0,0
0.100029,-0.0353844,-0.0160861,0.0366127,-0.000425622,-0.0178147,-0.00645806,-0.030581,0.00344133,0.00725106,0.000261683,-0.00186731,-0.000518343,nan,nan,nan,0.0072577,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00362884,0.122319,-0.0137658,-0.000128737,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0190792,-0.00221343,-0.000122315,1.73634e-12,0.00199947,2.64093e-07,0.00200026,nan,nan,nan,nan,nan,nan,nan,nan,1782374399627231,0,0,0
0.10563,-0.0353833,-0.0161018,0.0365174,-0.000866443,-0.0177116,-0.00626359,-0.0305636,0.00346299,0.00725937,0.00140424,0.0024467,0.0012769,nan,nan,nan,0.0072577,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00362884,0.122249,-0.0138521,-0.000171415,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0190792,-0.00221343,-0.000122315,1.73634e-12,0.00199947,2.64093e-07,0.00200026,nan,nan,nan,nan,nan,nan,nan,nan,1782374399627231,0,0,0
0.117778,-0.0353814,-0.0161192,0.0364242,-6.4676e-05,-0.0175337,-0.00629203,-0.0305794,0.00344909,0.00723533,-0.0022878,-0.00141657,-0.00245568,nan,nan,nan,0.00723533,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00361766,0.122312,-0.0137973,-8.03632e-05,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0180342,-0.00208115,-0.000121917,2.04767e-13,0.00199956,2.20744e-07,0.00200022,nan,nan,nan,nan,nan,nan,nan,nan,1782374399637706,0,0,0
0.125775,-0.035374,-0.0161391,0.0363316,-0.000118982,-0.0173994,-0.00612372,-0.0305834,0.00342993,0.00722989,-0.000963239,-0.00206869,-0.000411081,nan,nan,nan,0.00723533,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00361766,0.122328,-0.0137202,-0.000131603,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0185911,-0.00106422,-8.2427e-05,0,0.002,0.000494327,0.00150567,nan,nan,nan,nan,nan,nan,nan,nan,1782374399657166,0,0,0
0.138781,-0.0353693,-0.016188,0.036232,-0.000356893,-0.0176789,-0.00607341,-0.0305746,0.00344477,0.00724072,0.000465481,0.00165597,0.00151001,nan,nan,nan,0.00724072,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00362035,0.122293,-0.0137791,-0.000177763,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0184554,-0.00218644,-5.77725e-05,0,0.00199949,2.55606e-07,0.00200026,nan,nan,nan,nan,nan,nan,nan,nan,1782374399667688,0,0,0
